Time (s),EEG Fpz-Cz_Original,EEG Fpz-Cz_Filtered,EEG Pz-Oz_Original,EEG Pz-Oz_Filtered,EOG horizontal_Original,EOG horizontal_Filtered,Resp oro-nasal_Original,Resp oro-nasal_Filtered,EMG submental_Original,EMG submental_Filtered,Temp rectal_Original,Temp rectal_Filtered,Event marker_Original,Event marker_Filtered
0.0,5.016849816849817,5.016849816849817,-2.4673992673992546,-2.4673992673992546,16.50866910866916,16.50866910866916,-482000000.0,-482000000.0,3.552,3.552,37206451.612903185,37206451.612903185,919999999.9999999,919999999.9999999
0.01,-2.578754578754579,-2.578754578754579,1.4673992673992795,1.4673992673992795,16.01587301587307,16.01587301587307,-479674850.51202804,-479674850.51202804,3.5532156434224054,3.5532156434224054,37205159.62224009,37205159.62224009,919950202.6636397,919950202.6636397
0.02,1.3597069597069595,1.3597069597069595,-4.098901098901087,-4.098901098901087,9.60952380952386,9.60952380952386,-477059580.83689314,-477059580.83689314,3.5544247849123476,3.5544247849123476,37203907.17695059,37203907.17695059,919892908.3002461,919892908.3002461
0.03,-2.3912087912087916,-2.3912087912087916,-2.659340659340647,-2.659340659340647,1.7247863247863773,1.7247863247863773,-474153663.3989169,-474153663.3989169,3.555625857575564,3.555625857575564,37202694.43831581,37202694.43831581,919828162.2701575,919828162.2701575
0.04,-5.204395604395605,-5.204395604395605,-0.7399267399267278,-0.7399267399267278,7.63833943833949,7.63833943833949,-470956747.00628376,-470956747.00628376,3.556817299080904,3.556817299080904,37201521.545692585,37201521.545692585,919756014.7213455,919756014.7213455
0.05,-7.454945054945055,-7.454945054945055,-1.4117216117215996,-1.4117216117215996,2.710378510378563,2.710378510378563,-467468658.0627958,-467468658.0627958,3.5579975530337715,3.5579975530337715,37200388.61651252,37200388.61651252,919676520.5656786,919676520.5656786
0.06,-8.2989010989011,-8.2989010989011,-0.9318681318681197,-0.9318681318681197,0.2463980463980988,0.2463980463980988,-463689401.6666375,-463689401.6666375,3.5591650703473774,3.5591650703473774,37199295.74629573,37199295.74629573,919589739.452039,919589739.452039
0.07,-6.892307692307693,-6.892307692307693,1.8512820512820636,1.8512820512820636,-0.7391941391940867,-0.7391941391940867,-459619162.5949452,-459619162.5949452,3.5603183106106826,3.5603183106106826,37198243.00867929,37198243.00867929,919495735.7363204,919495735.7363204
0.08,-3.704029304029304,-3.704029304029304,-0.8358974358974236,-0.8358974358974236,1.2319902319902845,1.2319902319902845,-455258306.17304283,-455258306.17304283,3.5614557434518095,3.5614557434518095,37197230.455460235,37197230.455460235,919394578.4483122,919394578.4483122
0.09,-0.9846153846153847,-0.9846153846153847,-0.8358974358974236,-0.8358974358974236,5.174358974359027,5.174358974359027,-450607379.0272891,-450607379.0272891,3.5625758498958455,3.5625758498958455,37196258.116652824,37196258.116652824,919286341.2554764,919286341.2554764
0.1,2.203663003663003,2.203663003663003,-10.624908424908414,-10.624908424908414,-2.217582417582365,-2.217582417582365,-445667109.7205572,-445667109.7205572,3.5636771237157867,3.5636771237157867,37195326.000560455,37195326.000560455,919171102.423643,919171102.423643
